column,type,missing_count,missing_percent,action,reason
customer_id,numeric,0,0.0,retain (no imputation needed),0.00% missing
session_id,numeric,0,0.0,retain (no imputation needed),0.00% missing
visit_date,categorical/text,0,0.0,retain (no imputation needed),0.00% missing
device_type,numeric,0,0.0,retain (no imputation needed),0.00% missing
user_type,numeric,0,0.0,retain (no imputation needed),0.00% missing
marketing_channel,numeric,0,0.0,retain (no imputation needed),0.00% missing
product_id,numeric,0,0.0,retain (no imputation needed),0.00% missing
product_category,numeric,0,0.0,retain (no imputation needed),0.00% missing
unit_price,numeric,0,0.0,retain (no imputation needed),0.00% missing
quantity,numeric,0,0.0,retain (no imputation needed),0.00% missing
discount_percent,numeric,0,0.0,retain (no imputation needed),0.00% missing
discount_amount,numeric,0,0.0,retain (no imputation needed),0.00% missing
revenue,numeric,0,0.0,retain (no imputation needed),0.00% missing
pages_viewed,numeric,0,0.0,retain (no imputation needed),0.00% missing
time_on_site_sec,numeric,0,0.0,retain (no imputation needed),0.00% missing
added_to_cart,numeric,0,0.0,retain (no imputation needed),0.00% missing
purchased,numeric,0,0.0,retain (no imputation needed),0.00% missing
cart_abandoned,numeric,0,0.0,retain (no imputation needed),0.00% missing
rating,numeric,0,0.0,retain (no imputation needed),0.00% missing
review_text,numeric,0,0.0,retain (no imputation needed),0.00% missing
review_helpful_votes,numeric,0,0.0,retain (no imputation needed),0.00% missing
payment_method,numeric,0,0.0,retain (no imputation needed),0.00% missing
visit_day,numeric,0,0.0,retain (no imputation needed),0.00% missing
visit_month,numeric,0,0.0,retain (no imputation needed),0.00% missing
visit_weekday,numeric,0,0.0,retain (no imputation needed),0.00% missing
visit_season,numeric,0,0.0,retain (no imputation needed),0.00% missing
session_duration_bucket,categorical/text,0,0.0,retain (no imputation needed),0.00% missing
revenue_normalized,numeric,0,0.0,retain (no imputation needed),0.00% missing
location,numeric,0,0.0,retain (no imputation needed),0.00% missing
